predictor,prob_col,threshold,total_signals,evaluable,n_trade,n_no_trade,retention_pct,trade_hit_rate,trade_avg_return_bps,trade_cumulative_bps,trade_max_dd_bps,trade_volatility_bps,trade_sharpe,trade_avg_mfe_bps,trade_avg_mae_bps,no_trade_hit_rate,no_trade_avg_return_bps,prob_return_corr
pure_rule,rule_move_probability,0.3,7404,2701,2700,1,99.96,0.5,-2.65,-7155.19,-15856.73,80.57,-0.0329,0.0,0.0,1.0,133.22,-0.0257
pure_rule,rule_move_probability,0.4,7404,2701,2688,13,99.52,0.5,-2.38,-6399.01,-15053.95,79.88,-0.0298,0.0,0.0,0.54,-47.92,-0.0257
pure_rule,rule_move_probability,0.5,7404,2701,2546,155,94.26,0.5,-2.49,-6332.67,-13767.4,76.01,-0.0327,0.0,0.0,0.63,-4.45,-0.0257
pure_rule,rule_move_probability,0.55,7404,2701,2428,273,89.89,0.49,-2.78,-6759.86,-13632.98,76.73,-0.0363,0.0,0.0,0.61,-0.96,-0.0257
pure_rule,rule_move_probability,0.6,7404,2701,2184,517,80.86,0.48,-3.26,-7121.43,-13916.29,76.47,-0.0427,0.0,0.0,0.6,0.19,-0.0257
pure_rule,rule_move_probability,0.65,7404,2701,1739,962,64.38,0.48,-2.5,-4346.04,-10766.84,77.05,-0.0324,0.0,0.0,0.55,-2.78,-0.0257
pure_rule,rule_move_probability,0.7,7404,2701,1335,1366,49.43,0.45,-5.45,-7274.96,-9765.02,80.31,-0.0679,0.0,0.0,0.56,0.19,-0.0257
