predictor,prob_col,threshold,total_signals,evaluable,n_trade,n_no_trade,retention_pct,trade_hit_rate,trade_avg_return_bps,trade_cumulative_bps,trade_max_dd_bps,trade_volatility_bps,trade_sharpe,trade_avg_mfe_bps,trade_avg_mae_bps,no_trade_hit_rate,no_trade_avg_return_bps,prob_return_corr
research_dual,pred_research_dual,0.3,7404,2701,2346,355,86.86,0.54,3.9,9157.21,-3752.6,63.07,0.0619,0.0,0.0,0.24,-45.58,0.2128
research_dual,pred_research_dual,0.4,7404,2701,1407,1294,52.09,0.66,11.27,15860.06,-2384.54,64.38,0.1751,0.0,0.0,0.33,-17.68,0.2128
research_dual,pred_research_dual,0.5,7404,2701,1264,1437,46.8,0.67,10.92,13799.32,-2325.59,63.54,0.1719,0.0,0.0,0.35,-14.49,0.2128
research_dual,pred_research_dual,0.55,7404,2701,1240,1461,45.91,0.67,11.26,13963.46,-1533.56,58.07,0.194,0.0,0.0,0.36,-14.36,0.2128
research_dual,pred_research_dual,0.6,7404,2701,1178,1523,43.61,0.68,11.35,13369.53,-1246.78,57.48,0.1975,0.0,0.0,0.37,-13.39,0.2128
research_dual,pred_research_dual,0.65,7404,2701,938,1763,34.73,0.69,12.93,12125.63,-981.22,56.72,0.228,0.0,0.0,0.41,-10.86,0.2128
research_dual,pred_research_dual,0.7,7404,2701,291,2410,10.77,0.62,4.66,1356.67,-715.4,64.9,0.072,0.0,0.0,0.49,-3.48,0.2128
