timestamp,spot
2026-03-19T09:15:00+05:30,23275.5508
2026-03-19T09:15:00+05:30,23300.75
2026-03-19T09:15:00+05:30,23297.3496
2026-03-19T09:15:00+05:30,23305.9004
2026-03-19T09:15:00+05:30,23300.5
2026-03-19T09:15:00+05:30,23301.3008
2026-03-19T09:15:00+05:30,23299.3496
2026-03-19T09:15:00+05:30,23299.3496
2026-03-19T09:15:00+05:30,23315.3008
2026-03-19T09:15:00+05:30,23300.0996
2026-03-19T09:15:00+05:30,23300.0996
2026-03-19T09:15:00+05:30,23294.1504
2026-03-19T09:15:00+05:30,23294.1504
2026-03-19T09:15:00+05:30,23290.1992
2026-03-19T09:15:00+05:30,23289.0508
2026-03-19T09:15:00+05:30,23288.0996
2026-03-19T09:15:00+05:30,23289.4492
2026-03-19T09:15:00+05:30,23295.1992
2026-03-19T09:15:00+05:30,23295.1992
2026-03-19T09:20:00+05:30,23277.3008
2026-03-19T09:20:00+05:30,23281.6992
2026-03-19T09:20:00+05:30,23291.5996
2026-03-19T09:20:00+05:30,23291.5996
2026-03-19T09:20:00+05:30,23282.3008
2026-03-19T09:20:00+05:30,23281.4004
2026-03-19T09:20:00+05:30,23286.1504
2026-03-19T09:20:00+05:30,23292.3008
2026-03-19T09:20:00+05:30,23292.3008
2026-03-19T09:20:00+05:30,23290.1504
2026-03-19T09:20:00+05:30,23301.3008
2026-03-19T09:20:00+05:30,23306.4004
2026-03-19T09:20:00+05:30,23315.25
2026-03-19T09:20:00+05:30,23316.4004
2026-03-19T09:20:00+05:30,23308.3496
2026-03-19T09:20:00+05:30,23311.0508
2026-03-19T09:20:00+05:30,23311.9004
2026-03-19T09:20:00+05:30,23308.9492
2026-03-19T09:20:00+05:30,23317.5996
2026-03-19T09:20:00+05:30,23317.5996
2026-03-19T09:20:00+05:30,23319.25
2026-03-19T09:20:00+05:30,23319.25
2026-03-19T09:20:00+05:30,23319.25
2026-03-19T09:20:00+05:30,23319.0508
2026-03-19T09:20:00+05:30,23328.5
2026-03-19T09:20:00+05:30,23330.75
2026-03-19T09:20:00+05:30,23330.75
2026-03-19T09:25:00+05:30,23338.8496
2026-03-19T09:25:00+05:30,23337.25
2026-03-19T09:25:00+05:30,23344.0
2026-03-19T09:25:00+05:30,23341.8496
2026-03-19T09:25:00+05:30,23340.5996
2026-03-19T09:25:00+05:30,23338.1992
2026-03-19T09:25:00+05:30,23338.0
2026-03-19T09:25:00+05:30,23338.0
2026-03-19T09:25:00+05:30,23350.4492
2026-03-19T09:25:00+05:30,23343.5
2026-03-19T09:25:00+05:30,23337.0508
2026-03-19T09:25:00+05:30,23337.0508
2026-03-19T09:25:00+05:30,23339.0
2026-03-19T09:25:00+05:30,23340.8008
2026-03-19T09:25:00+05:30,23343.4492
2026-03-19T09:25:00+05:30,23337.0996
2026-03-19T09:25:00+05:30,23338.9492
2026-03-19T09:25:00+05:30,23338.9492
2026-03-19T09:25:00+05:30,23341.6504
2026-03-19T09:25:00+05:30,23347.3008
2026-03-19T09:25:00+05:30,23347.3008
2026-03-19T09:25:00+05:30,23344.8496
2026-03-19T09:25:00+05:30,23339.0508
2026-03-19T09:25:00+05:30,23339.0508
2026-03-19T09:25:00+05:30,23326.25
2026-03-19T09:25:00+05:30,23325.0996
2026-03-19T09:25:00+05:30,23322.6992
2026-03-19T09:25:00+05:30,23322.6992
2026-03-19T09:30:00+05:30,23303.9492
2026-03-19T09:30:00+05:30,23299.25
2026-03-19T09:30:00+05:30,23299.25
2026-03-19T09:30:00+05:30,23307.0
2026-03-19T09:30:00+05:30,23307.0
2026-03-19T09:30:00+05:30,23311.8496
2026-03-19T09:30:00+05:30,23311.8496
2026-03-19T09:30:00+05:30,23310.75
2026-03-19T09:30:00+05:30,23310.75
2026-03-19T09:30:00+05:30,23310.25
2026-03-19T09:30:00+05:30,23310.25
2026-03-19T09:30:00+05:30,23312.8496
2026-03-19T09:30:00+05:30,23309.4492
2026-03-19T09:30:00+05:30,23312.4004
2026-03-19T09:30:00+05:30,23312.4004
2026-03-19T09:30:00+05:30,23318.9004
2026-03-19T09:30:00+05:30,23318.75
