scoring_mode,method,status,total_signals,evaluated_days,elapsed_seconds,trade_signals,trade_rate,target_hit_rate,stop_loss_hit_rate,avg_trade_strength,avg_composite_score,avg_direction_score,avg_tradeability_score,correct_1d,correct_expiry,avg_mfe_bps,avg_mae_bps
discrete,blended,SUCCESS,7554,2518,1481.18,4200,0.556,0.4362,0.5188,83.3143,57.9994,41.0879,50.8945,0.49,0.46,234.903,-256.5775
discrete,pure_rule,SUCCESS,7554,2518,2172.97,4138,0.5478,0.4352,0.5193,81.9983,57.9611,40.9536,50.8606,0.4901,0.4594,235.389,-257.6845
discrete,pure_ml,SUCCESS,7554,2518,1640.9,3521,0.4661,0.4212,0.5288,82.8594,58.4427,41.4604,50.5676,0.4869,0.4547,246.3076,-270.596
discrete,research_dual_model,SUCCESS,7554,2518,1737.42,3300,0.4369,0.4215,0.5336,82.507,58.9333,42.6867,51.0492,0.4875,0.4633,248.0993,-270.6499
discrete,research_decision_policy,SUCCESS,7554,2518,1433.44,2736,0.3622,0.4287,0.5281,85.3586,60.1968,44.7976,52.1028,0.4985,0.4795,258.7555,-274.1632
discrete,ev_sizing,SUCCESS,7554,2518,1542.28,3296,0.4363,0.4217,0.5334,82.5234,58.9451,42.7385,51.0542,0.4875,0.4633,248.0097,-270.1126
discrete,research_rank_gate,SUCCESS,7554,2518,1549.66,2443,0.3234,0.4269,0.5379,86.9996,60.6979,45.2611,52.3755,0.4947,0.4806,264.1329,-278.4953
discrete,research_uncertainty_adjusted,SUCCESS,7554,2518,1446.01,2217,0.2935,0.4172,0.5489,88.5097,59.5667,43.3682,51.0255,0.4814,0.4705,265.2109,-288.0483
